,DefectId,Severity,Project,rootCauseCategoryNG,Phase,Component,openDate,closedDate,plannedDurationInWeeks,developmentTeamSizeForRelease,testingTeamSizeForRelease,numberOfTestCaseExecuted,applicationCategory,Complexity,projectCMMILevel,applicationVersion
108,177,C-Medium,A,Detailed Design,Dev Testing (DT),NGBA Phase 1 Drop A,9/1/2015,9/21/2015,100,200,100,1000,Existing,4,Level4,1
109,178,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,10/7/2015,100,200,100,1000,Existing,4,Level4,1
110,179,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/15/2015,100,200,100,1000,Existing,4,Level4,1
111,180,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
112,181,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
113,182,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
114,183,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/3/2015,10/6/2015,100,200,100,1000,Existing,4,Level4,1
115,184,C-Medium,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/3/2015,5/24/2016,100,200,100,1000,Existing,4,Level4,1
116,185,D-Low,A,Component Code,Dev Testing (DT),NGBA Phase 1 Drop A,9/3/2015,9/10/2015,100,200,100,1000,Existing,4,Level4,1
117,186,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,9/3/2015,10/14/2015,100,200,100,1000,Existing,4,Level4,1
118,187,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
119,188,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/30/2015,100,200,100,1000,Existing,4,Level4,1
120,189,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
121,190,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
122,191,D-Low,A,Component Integration,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/9/2015,100,200,100,1000,Existing,4,Level4,1
123,192,C-Medium,A,Connectivity,Dev Testing (DT),NGBA Phase 1 Drop A,9/3/2015,9/8/2015,100,200,100,1000,Existing,4,Level4,1
124,193,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
125,194,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/4/2015,9/29/2015,100,200,100,1000,Existing,4,Level4,1
126,195,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/3/2015,10/14/2015,100,200,100,1000,Existing,4,Level4,1
127,196,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/8/2015,9/15/2015,100,200,100,1000,Existing,4,Level4,1
128,197,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,9/8/2015,9/15/2015,100,200,100,1000,Existing,4,Level4,1
129,198,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,9/8/2015,9/11/2015,100,200,100,1000,Existing,4,Level4,1
